Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Nationality,Draft Year,Draft Pick
2022,Frank Jackson,SG,75,205,23,DET,53,4,Duke,United States,2017 ,2
2022,Isaiah Jackson,PF,82,206,20,IND,36,0,Kentucky,United States,2021 ,22
2022,Josh Jackson,SF,80,207,25,"DET, SAC",51,4,Kansas,United States,2017 ,4
2022,"Jaren Jackson, Jr.",PF,83,242,22,MEM,78,3,Michigan State,United States,2018 ,4
2022,Justin Jackson,F,80,220,26,"BOS, PHX",7,4,North Carolina,United States,2017 ,15
2022,Reggie Jackson,G,74,208,31,LAC,75,10,Boston College,ItalyUnited States,2011 ,24
2022,LeBron James,F,80,250,37,LAL,56,18,St. Vincent St. Mary High School (Ohio),United States,2003 ,1
2022,DeJon Jarreau,PG,77,185,24,IND,1,0,Houston,United States,"2021 NBA Draft, Undrafted",NA
2022,DaQuan Jeffries,SF,77,225,24,MEM,3,2,Tulsa,United States,"2019 NBA Draft, Undrafted",NA
2022,Ty Jerome,PG,77,195,24,OKC,48,2,Virginia,United States,2019 ,24
2022,Isaiah Joe,SG,75,174,22,PHI,55,1,Arkansas,United States,2020 ,38
2022,Alize Johnson,SF,79,210,25,"CHI, NOP, WAS",23,3,Missouri State,United States,2018 ,40
2022,B.J. Johnson,SF,79,200,26,ORL,4,2,La Salle,United States,"2018 NBA Draft, Undrafted",NA
2022,Cameron Johnson,G,81,210,25,PHX,66,2,North Carolina,United States,2019 ,11
2022,David Johnson,SG,76,209,21,TOR,2,0,Louisville,United States,2021 ,34
2022,Jalen Johnson,PF,81,220,20,ATL,22,0,Duke,United States,2021 ,20
2022,James Johnson,F,79,240,35,BRK,62,12,Wake Forest,United States,2009 ,16
2022,Joe Johnson,SG,79,240,40,BOS,1,17,Arkansas,United States,2001 ,10
2022,Keldon Johnson,SF,78,210,22,SAS,75,2,Kentucky,United States,2019 ,29
2022,Keon Johnson,PG,76,185,19,"LAC, POR",37,0,Tennessee,United States,2021 ,21
2022,Stanley Johnson,G,78,242,25,LAL,48,6,Arizona,United States,2015 ,8
2022,Tyler Johnson,G,76,190,29,"PHL, SAN",6,7,Fresno State,United States,"2014 NBA Draft, Undrafted",NA
2022,Nikola Jokic,C,84,284,27,DEN,74,6,KK Mega Bemax (Serbia),Serbia,2014 ,22
2022,Carlik Jones,PG,73,185,24,"DAL, DEN",5,0,Louisville,United States,"2021 NBA Draft, Undrafted",NA
2022,Damian Jones,PF,84,245,26,SAC,56,5,Vanderbilt,United States,2016 ,30
2022,Derrick Jones,SF,78,210,25,CHI,51,5,UNLV,United States,"2016 NBA Draft, Undrafted",NA
2022,Herb Jones,SF,78,206,23,NOP,78,0,Alabama,United States,2021 ,10
2022,Jemerrio Jones,F,77,175,26,LAL,2,1,New Mexico State,United States,"2018 NBA Draft, Undrafted",NA
2022,Kai Jones,PF,82,221,21,CHA,21,0,Texas,Bahamas,2021 ,19
2022,Mason Jones,G,76,200,23,LAL,4,1,Arkansas,United States,"2020 NBA Draft, Undrafted",NA
2022,Tre Jones,PG,74,185,22,SAS,69,1,Duke,United States,2020 ,22
2022,Tyus Jones,PG,73,196,25,MEM,73,6,Duke,United States,2015 ,24
2022,DeAndre Jordan,C,83,265,33,"LAL, PHL",48,13,Texas A&M,United States,2008 ,10
2022,Cory Joseph,PG,75,200,30,DET,65,10,Texas,Canada,2011 ,29
2022,Georgios Kalaitzakis,F,79,205,23,"MIL, OKC",13,0,Panathinaikos (Greece),Greece,2021 ,60
2022,Frank Kaminsky,F,84,242,28,PHX,9,6,Wisconsin,United States,2015 ,9
2022,Luke Kennard,SG,77,206,25,LAC,70,4,Duke,United States,2017 ,12
2022,Braxton Key,SF,80,230,25,"DET, PHL",11,0,Virginia,United States,"2020 NBA Draft, Undrafted",NA
2022,George King,SF,78,220,28,DAL,4,1,Colorado,United States,2018 ,58
2022,Louis King,SF,79,205,22,SAC,10,2,Oregon,United States,"2019 NBA Draft, Undrafted",NA
2022,Corey Kispert,SF,79,220,22,WAS,77,0,Gonzaga,United States,2021 ,15
2022,Maxi Kleber,PF,82,240,30,DAL,59,4,s.Oliver Baskets (Germany),Germany,"2014 NBA Draft, Undrafted",NA
2022,Brandon Knight,G,74,182,30,DAL,5,9,Kentucky,United States,2011 ,8
2022,Nathan Knight,PF,80,244,24,MIN,37,1,William & Mary,United States,"2020 NBA Draft, Undrafted",NA
2022,Kevin Knox,SF,79,215,22,"ATL, NYK",30,3,Kentucky,United States,2018 ,9
2022,John Konchar,G,77,210,25,MEM,72,2,Fort Wayne,United States,"2019 NBA Draft, Undrafted",NA
2022,Furkan Korkmaz,SG,79,210,24,PHI,67,4,Anadolu Efes (Turkey),Turkey,2016 ,26
2022,Luke Kornet,F,86,252,26,"BOS, CLE, MIL",15,4,Vanderbilt,United States,"2017 NBA Draft, Undrafted",NA
2022,Vit Krejci,PG,80,195,21,OKC,30,0,Zaragoza U18 (Spain),Czech Republic,2020 ,14
2022,Arnoldas Kulboka,SF,82,225,24,CHA,2,0,Orlandina Basket (Italy),Lithuania,2018 ,50
2022,Jonathan Kuminga,F,79,227,19,GSW,70,0,NBA G League Ignite,Democratic Republic of the Congo,2021 ,7
2022,Kyle Kuzma,F,82,221,26,WAS,66,4,Utah,United States,2017 ,27
2022,Zach LaVine,SG,77,200,26,CHI,67,7,UCLA,United States,2014 ,13
2022,Anthony Lamb,PF,78,225,24,SAS,2,1,Vermont,United States,"2020 NBA Draft, Undrafted",NA
2022,Jeremy Lamb,SG,77,185,29,"IND, SAC",56,9,Connecticut,United States,2012 ,12
2022,Jock Landale,C,83,255,26,SAS,54,0,Saint Mary's,Australia,"2018 NBA Draft, Undrafted",NA
2022,Romeo Langford,SG,77,215,22,"BOS, SAN",48,2,Indiana,United States,2019 ,14
2022,Jake Layman,SF,80,209,27,MIN,34,5,Maryland,United States,2016 ,34
2022,Caris LeVert,G,78,205,27,"CLE, IND",58,5,Michigan,United States,2016 ,20
2022,Damion Lee,G,77,203,29,GSW,63,4,Louisville,United States,"2016 NBA Draft, Undrafted",NA
2022,Saben Lee,PG,74,183,22,DET,37,1,Vanderbilt,United States,2020 ,16
2022,Alex Len,C,84,250,28,SAC,39,8,Maryland,Ukraine,2013 ,5
2022,"Kira Lewis, Jr.",PG,73,170,20,NOP,24,1,Alabama,United States,2020 ,13
2022,Scottie Lewis,SF,77,185,21,CHA,2,0,Florida,United States,2021 ,52
2022,Damian Lillard,G,74,200,31,POR,29,9,Weber State,United States,2012 ,6
2022,Nassir Little,SF,77,220,22,POR,42,2,North Carolina,United States,2019 ,25
2022,Isaiah Livers,PF,79,230,23,DET,19,0,Michigan,United States,2021 ,24
2022,Kevon Looney,PF,81,249,26,GSW,82,6,UCLA,United States,2015 ,30
2022,Brook Lopez,C,84,270,33,MIL,13,13,Stanford,United States,2008 ,10
2022,Robin Lopez,FC,84,275,33,ORL,36,13,Stanford,United States,2008 ,15
2022,Didi Louzada,SF,77,215,22,"NOP, POR",9,1,Franca (Brazil),Brazil,2019 ,10
2022,Kevin Love,FC,80,247,33,CLE,74,13,UCLA,United States,2008 ,5
2022,Kyle Lowry,PG,73,196,35,MIA,63,15,Villanova,United States,2006 ,24
2022,Gabriel Lundberg,G,76,202,27,PHX,4,0,BMS Herlev Wolfpack (Denmark),Denmark,"2016 NBA Draft, Undrafted",NA
2022,Timothe Luwawu-Cabarrot,F,79,210,26,ATL,52,5,KK Mega Bemax (Serbia),France,2016 ,24
2022,Trey Lyles,SF,81,234,26,"DET, SAC",75,6,Kentucky,CanadaUnited States,2015 ,12
2022,Theo Maledon,PG,77,190,20,OKC,51,1,ASVEL Basket (France),France,2020 ,8
2022,Sandro Mamukelashvili,F,83,245,22,MIL,41,0,Seton Hall,Georgia,2021 ,48
2022,Terance Mann,SG,77,215,25,LAC,81,2,Florida State,United States,2019 ,36
2022,Tre Mann,PG,77,190,21,OKC,60,0,Florida,United States,2021 ,18
2022,Boban Marjanovic,C,88,290,33,DAL,23,6,KK Vrsac Swisslion (Serbia),Serbia,"2010 NBA Draft, Undrafted",NA
2022,Lauri Markkanen,SF,84,238,24,CLE,61,4,Arizona,Finland,2017 ,7
2022,Naji Marshall,SF,79,220,24,NOP,55,1,Xavier,United States,"2020 NBA Draft, Undrafted",NA
2022,Caleb Martin,F,79,205,26,MIA,60,2,Nevada,United States,"2019 NBA Draft, Undrafted",NA
2022,Cody Martin,F,78,205,26,CHA,71,2,Nevada,United States,2019 ,12
2022,K.J. Martin,F,79,215,21,HOU,79,1,IMG Academy (Florida),United States,2020 ,44
2022,Kelan Martin,SF,77,230,26,"BOS, IND",30,2,Butler,United States,"2018 NBA Draft, Undrafted",NA
2022,Garrison Mathews,SG,77,215,25,HOU,65,2,Lipscomb,United States,"2019 NBA Draft, Undrafted",NA
2022,Dakota Mathias,SG,76,200,26,MEM,6,1,Purdue,United States,"2018 NBA Draft, Undrafted",NA
2022,Wesley Matthews,G,77,220,35,MIL,49,12,Marquette,United States,"2009 NBA Draft, Undrafted",NA
2022,Tyrese Maxey,PG,74,195,21,PHI,75,1,Kentucky,United States,2020 ,21
2022,Skylar Mays,PG,76,205,24,ATL,28,1,LSU,United States,2020 ,40
2022,Miles McBride,G,74,196,21,NYK,40,0,West Virginia,United States,2021 ,12
2022,Mac McClung,PG,74,185,23,"CHI, LAL",2,0,Texas Tech,United States,"2021 NBA Draft, Undrafted",NA
2022,C.J. McCollum,G,75,200,30,"NOP, POR",62,8,Lehigh,United States,2013 ,10
2022,T.J. McConnell,G,74,190,29,IND,27,6,Arizona,United States,"2015 NBA Draft, Undrafted",NA
2022,Jaden McDaniels,F,82,185,21,MIN,70,1,Washington,United States,2020 ,28
2022,Jalen McDaniels,PF,81,205,24,CHA,55,2,San Diego State,United States,2019 ,44
2022,Doug McDermott,F,80,225,30,SAS,51,7,Creighton,United States,2014 ,11
2022,JaVale McGee,C,84,270,34,PHX,74,13,Nevada,United States,2008 ,18
2022,Cameron McGriff,SF,79,220,24,POR,3,0,Oklahoma State,United States,"2020 NBA Draft, Undrafted",NA
2022,Rodney McGruder,SG,76,205,30,DET,51,5,Kansas State,United States,"2013 NBA Draft, Undrafted",NA
2022,Alfonzo McKinnie,F,80,215,29,CHI,17,4,Green Bay,United States,"2015 NBA Draft, Undrafted",NA
2022,JaQuori McLaughlin,PG,76,190,24,DAL,4,0,UC Santa Barbara,United States,"2021 NBA Draft, Undrafted",NA
2022,Jordan McLaughlin,G,71,185,25,MIN,62,2,USC,United States,"2018 NBA Draft, Undrafted",NA
2022,Ben McLemore,SG,75,195,29,POR,64,8,Kansas,United States,2013 ,7
2022,De'Anthony Melton,SG,74,200,23,MEM,73,3,USC,United States,2018 ,32
2022,Sam Merrill,G,76,205,25,MEM,6,1,Utah State,United States,2020 ,60
2022,Chimezie Metu,PF,81,225,24,SAC,60,3,USC,United StatesNigeria,2018 ,38
2022,Khris Middleton,SF,80,222,30,MIL,66,9,Texas A&M,United States,2012 ,18
2022,C.J. Miles,GF,78,220,34,BOS,1,15,Skyline High School  (Texas),United States,2005 ,8
2022,Patty Mills,G,72,180,33,BRK,81,12,Saint Mary's,Australia,2009 ,50
2022,Paul Millsap,FC,79,250,37,"BRK, PHL",33,15,Louisiana Tech,United States,2006 ,34
2022,Shake Milton,SG,77,215,25,PHI,55,3,Southern Methodist,United States,2018 ,48
2022,Davion Mitchell,PG,74,205,23,SAC,75,0,Baylor,United States,2021 ,9
2022,Donovan Mitchell,SG,75,215,25,UTA,67,4,Louisville,United States,2017 ,13
2022,Evan Mobley,PF,84,215,20,CLE,69,0,USC,United States,2021 ,3
2022,Malik Monk,SG,75,200,24,LAL,76,4,Kentucky,United States,2017 ,11
2022,Greg Monroe,FC,83,265,31,"MIL, MIN, UTH, WAS",14,9,Georgetown,United States,2010 ,7
2022,Moses Moody,SG,77,210,19,GSW,52,0,Arkansas,United States,2021 ,14
2022,Xavier Moon,SG,74,165,27,LAC,10,0,Morehead State,United States,"2017 NBA Draft, Undrafted",NA
2022,Matt Mooney,G,75,200,25,NYK,1,1,Texas Tech,United States,"2019 NBA Draft, Undrafted",NA
2022,Ja Morant,G,75,175,22,MEM,57,2,Murray State,United States,2019 ,2
2022,Juwan Morgan,PF,79,232,24,"BOS, TOR",2,2,Indiana,United States,"2019 NBA Draft, Undrafted",NA
2022,Jaylen Morris,G,77,195,26,SAS,3,2,Molloy,United States,"2017 NBA Draft, Undrafted",NA
2022,Marcus Morris,F,80,218,32,LAC,54,10,Kansas,United States,2011 ,14
2022,Markieff Morris,PF,81,250,32,MIA,17,10,Kansas,United States,2011 ,13
2022,Monte Morris,G,74,183,26,DEN,75,4,Iowa State,United StatesNigeria,2017 ,42
2022,Emmanuel Mudiay,SG,77,200,25,SAC,2,5,Guangzhou Loong Lions (China),United StatesDemocratic Republic of the Congo,2015 ,7
2022,Mychal Mulder,GF,75,195,27,"MIA, ORL",17,2,Kentucky,Canada,"2017 NBA Draft, Undrafted",NA
2022,Ade Murkey,SF,77,200,24,SAC,1,0,Denver,United States,"2020 NBA Draft, Undrafted",NA
2022,Trey Murphy III,G,80,208,21,NOP,62,0,Virginia,United States,2021 ,17
2022,Dejounte Murray,SG,77,180,25,SAS,68,5,Washington,United States,2016 ,29
2022,Mike Muscala,FC,83,240,30,OKC,43,8,Bucknell,United States,2013 ,28
2022,Svi Mykhailiuk,SF,80,205,24,TOR,56,3,Kansas,Ukraine,2018 ,34
2022,Abdel Nader,SF,78,225,28,PHX,14,4,Iowa State,United StatesEgypt,2016 ,56
2022,"Larry Nance, Jr.",SF,79,245,29,"NOP, POR",46,6,Wyoming,United States,2015 ,27
2022,R.J. Nembhard,PG,77,200,22,CLE,14,0,Texas Christian,United States,"2021 NBA Draft, Undrafted",NA
2022,Aaron Nesmith,F,78,213,22,BOS,52,1,Vanderbilt,United States,2020 ,14
2022,Raulzinho Neto,PG,73,179,29,WAS,70,6,Acunsa GBC (Spain),Brazil,2013 ,34
2022,Malik Newman,SG,75,190,25,CLE,1,1,Kansas,United States,"2018 NBA Draft, Undrafted",NA
2022,Georges Niang,F,79,235,28,PHI,76,5,Iowa State,United States,2016 ,40
2022,Daishen Nix,GF,77,224,20,HOU,24,0,NBA G League Ignite,United States,"2021 NBA Draft, Undrafted",NA
2022,Zeke Nnaji,PF,83,240,21,DEN,41,1,Arizona,United States,2020 ,22
2022,Nerlens Noel,FC,83,220,27,NYK,25,8,Kentucky,United States,2013 ,6
2022,Jaylen Nowell,SG,76,197,22,MIN,62,2,Washington,United States,2019 ,26
2022,Frank Ntilikina,PG,77,200,23,DAL,58,4,Strasbourg IG (France),BelgiumFrance,2017 ,8
2022,Jusuf Nurkic,FC,84,290,27,POR,56,7,Cedevita (Croatia),Bosnia and Herzegovina,2014 ,16
2022,David Nwaba,G,77,219,29,HOU,46,5,Cal Poly,United States,"2016 NBA Draft, Undrafted",NA
2022,Jordan Nwora,F,80,226,23,MIL,62,1,Louisville,United StatesNigeria,2020 ,30
2022,Royce O'Neale,SF,78,220,28,UTA,77,4,Baylor,United States,"2015 NBA Draft, Undrafted",NA
2022,Semi Ojeleye,SF,78,240,27,"LAC, MIL",30,4,Southern Methodist,United States,2017 ,14
2022,Chuma Okeke,PF,80,230,23,ORL,70,1,Auburn,United States,2019 ,16
2022,Josh Okogie,SG,76,220,23,MIN,49,3,Georgia Tech,NigeriaUnited States,2018 ,20
2022,Onyeka Okongwu,PF,81,245,21,ATL,48,1,USC,United States,2020 ,6
2022,Isaac Okoro,SG,77,225,21,CLE,67,1,Auburn,United States,2020 ,5
2022,KZ Okpala,SG,80,215,22,MIA,21,2,Stanford,United StatesNigeria,2019 ,4
2022,Victor Oladipo,G,76,210,29,MIA,8,8,Indiana,United States,2013 ,2
2022,Cameron Oliver,C,80,225,25,ATL,2,1,Nevada,United States,"2017 NBA Draft, Undrafted",NA
2022,Kelly Olynyk,C,83,240,30,DET,40,8,Gonzaga,Canada,2013 ,13
2022,Eugene Omoruyi,F,78,235,25,DAL,4,0,Oregon,Canada,"2021 NBA Draft, Undrafted",NA
2022,Miye Oni,SF,77,206,24,UTA,16,2,Yale,United StatesNigeria,2019 ,56
2022,Cedi Osman,GF,79,230,26,CLE,66,4,Anadolu Efes (Turkey),North MacedoniaTurkey,2015 ,2
2022,Daniel Oturu,FC,80,240,22,TOR,3,1,Minnesota,United States,2020 ,6
2022,"Kelly Oubre, Jr.",SF,78,203,26,CHA,76,6,Kansas,United States,2015 ,15
2022,Jaysean Paige,G,74,200,27,DET,1,0,West Virginia,United StatesPuerto Rico,"2016 NBA Draft, Undrafted",NA
2022,Trayvon Palmer,GF,78,200,27,DET,1,0,Chicago State,United States,"2017 NBA Draft, Undrafted",NA
2022,Kevin Pangos,PG,74,185,29,CLE,24,0,Gonzaga,Canada,"2015 NBA Draft, Undrafted",NA
2022,Jabari Parker,F,80,245,26,BOS,12,7,Duke,United States,2014 ,2
2022,Eric Paschall,F,78,255,25,UTA,58,2,Villanova,United States,2019 ,22
2022,Chris Paul,PG,72,175,36,PHX,65,16,Wake Forest,United States,2005 ,4
2022,Cameron Payne,G,75,190,27,PHX,58,6,Murray State,United States,2015 ,14
2022,Gary Payton II,G,75,195,29,GSW,71,5,Oregon State,United States,"2016 NBA Draft, Undrafted",NA
2022,Elfrid Payton,G,76,185,28,PHX,50,7,Louisiana,United States,2014 ,10
2022,Norvel Pelle,FC,82,216,29,UTA,3,2,Delaware 87ers,LebanonAntigua and Barbuda,"2014 NBA Draft, Undrafted",NA
2022,Reggie Perry,F,80,250,21,"IND, POR",10,1,Mississippi State,United States,2020 ,54
2022,Jamorko Pickett,F,81,206,24,DET,13,0,Georgetown,United States,"2021 NBA Draft, Undrafted",NA
2022,Theo Pinson,SG,77,212,26,DAL,19,3,North Carolina,United States,"2018 NBA Draft, Undrafted",NA
2022,Mason Plumlee,PF,83,254,31,CHA,73,8,Duke,United States,2013 ,22
2022,Jakob Poeltl,C,84,240,26,SAS,68,5,Utah,Austria,2016 ,9
2022,Aleksej Pokusevski,C,84,210,20,OKC,61,1,Olympiacos U18 (Greece),Serbia,2020 ,17
2022,Yves Pons,GF,77,206,22,MEM,12,0,Tennessee,HaitiFrance,"2021 NBA Draft, Undrafted",NA
2022,Jordan Poole,SG,76,192,22,GSW,76,2,Michigan,United States,2019 ,28
2022,"Kevin Porter, Jr.",SF,76,203,21,HOU,61,2,USC,United States,2019 ,30
2022,"Michael Porter, Jr.",PF,82,218,23,DEN,9,3,Missouri,United States,2018 ,14
2022,Otto Porter,SF,80,228,28,GSW,63,8,Georgetown,United States,2013 ,3
2022,Bobby Portis,PF,83,250,27,MIL,72,6,Arkansas,United States,2015 ,22
2022,Kristaps Porzingis,FC,87,240,26,"DAL, WAS",51,6,Coosur Real Betis (Spain),Latvia,2015 ,4
2022,Micah Potter,C,82,250,23,DET,3,0,Wisconsin,United States,"2021 NBA Draft, Undrafted",NA
2022,Dwight Powell,PF,82,240,30,DAL,82,7,Stanford,Canada,2014 ,30
2022,Myles Powell,SG,73,205,24,PHI,11,1,Seton Hall,United States,"2020 NBA Draft, Undrafted",NA
2022,Norman Powell,SG,75,215,28,"LAC, POR",45,6,UCLA,United States,2015 ,32
2022,Joshua Primo,G,77,190,19,SAS,50,0,Alabama,Canada,2021 ,12
2022,Taurean Prince,F,79,218,27,MIN,69,5,Baylor,United States,2016 ,12
2022,Payton Pritchard,PG,74,190,24,BOS,71,1,Oregon,United States,2020 ,26
2022,Trevelin Queen,G,78,190,25,HOU,10,0,New Mexico State,United States,"2020 NBA Draft, Undrafted",NA
2022,Neemias Queta,C,84,245,22,SAC,15,0,Utah State,Portugal,2021 ,18
2022,Immanuel Quickley,PG,75,188,22,NYK,78,1,Kentucky,United States,2020 ,25
2022,Jahmi'us Ramsey,PG,75,195,20,SAC,19,1,Texas Tech,United States,2020 ,26
2022,Julius Randle,PF,81,250,27,NYK,72,7,Kentucky,United States,2014 ,7
2022,Austin Reaves,PG,77,206,23,LAL,61,0,Oklahoma,United States,"2021 NBA Draft, Undrafted",NA
2022,Cam Reddish,G,80,218,22,"ATL, NYK",49,2,Duke,United States,2019 ,10
2022,Davon Reed,SF,77,208,26,DEN,48,2,Miami (FL),United States,2017 ,4
2022,"Paul Reed, Jr.",F,80,218,22,PHI,38,1,DePaul,United States,2020 ,56
2022,Naz Reid,C,81,250,22,MIN,77,2,LSU,United States,"2019 NBA Draft, Undrafted",NA
2022,Nick Richards,C,84,245,24,CHA,50,1,Kentucky,Jamaica,2020 ,24
2022,Josh Richardson,G,77,200,28,"BOS, SAN",65,6,Tennessee,United States,2015 ,20
2022,Austin Rivers,SG,76,200,29,DEN,67,9,Duke,United States,2012 ,10
2022,Duncan Robinson,F,80,210,27,MIA,79,3,Michigan,United States,"2018 NBA Draft, Undrafted",NA
2022,Justin Robinson,PG,73,195,24,"DET, MIL, SAC",25,2,Virginia Tech,United States,"2019 NBA Draft, Undrafted",NA
2022,Mitchell Robinson,C,85,240,23,NYK,72,3,,United States,2018 ,12
2022,Jeremiah Robinson-Earl,PF,81,240,21,OKC,49,0,Villanova,United States,2021 ,4
2022,Isaiah Roby,SF,80,230,24,OKC,45,2,Nebraska,United States,2019 ,30
2022,Rajon Rondo,PG,73,180,36,"CLE, LAL",39,15,Kentucky,United States,2006 ,21
2022,Derrick Rose,PG,75,200,33,NYK,26,13,Memphis,United States,2008 ,1
2022,Terrence Ross,SF,79,205,31,ORL,63,9,Washington,United States,2012 ,8
2022,Terry Rozier,G,73,190,27,CHA,73,6,Louisville,United States,2015 ,16
2022,Ricky Rubio,G,75,190,31,CLE,34,10,Joventut Badalona (Spain),Spain,2009 ,5
2022,D'Angelo Russell,SG,76,193,26,MIN,65,6,Ohio State,United States,2015 ,2
2022,Matt Ryan,SF,79,215,24,BOS,1,0,Chattanooga,United States,"2020 NBA Draft, Undrafted",NA
2022,Domantas Sabonis,PF,83,240,25,"IND, SAC",62,5,Gonzaga,United StatesLithuania,2016 ,11
2022,Olivier Sarr,FC,84,240,23,OKC,22,0,Kentucky,France,"2021 NBA Draft, Undrafted",NA
2022,Tomas Satoransky,PG,79,210,30,"NOP, SAN, WAS",55,5,Coosur Real Betis (Spain),Czech Republic,2012 ,4
2022,Jordan Schakel,SF,78,200,23,WAS,4,0,San Diego State,United States,"2021 NBA Draft, Undrafted",NA
2022,Admiral Schofield,SF,77,240,24,ORL,38,1,Tennessee,United States,2019 ,24
2022,Dennis Schroder,PG,75,172,28,"BOS, HOU",64,8,Basketball Lowen Braunschweig (Germany),Germany,2013 ,17
2022,Tre Scott,SF,80,225,25,CLE,2,0,Cincinnati,United States,"2020 NBA Draft, Undrafted",NA
2022,Jay Scrubb,SG,77,220,21,LAC,18,1,John A. Logan,United States,2020 ,50
2022,Wayne Selden,SG,77,230,27,NYK,3,3,Kansas,United States,"2016 NBA Draft, Undrafted",NA
2022,Alperen Sengun,C,81,235,19,HOU,72,0,Besiktas Icrypex (Turkey),Turkey,2021 ,16
2022,Collin Sexton,PG,73,192,23,CLE,11,3,Alabama,United States,2018 ,8
2022,Landry Shamet,PG,76,190,24,PHX,69,3,Wichita State,United States,2018 ,26
2022,Day'Ron Sharpe,PF,81,255,20,BRK,32,0,North Carolina,United States,2021 ,29
2022,Pascal Siakam,F,80,240,27,TOR,68,5,New Mexico State,Cameroon,2016 ,27
2022,Chris Silva,PF,80,234,25,"MIA, MIN",10,2,South Carolina,Gabon,"2019 NBA Draft, Undrafted",NA
2022,Marko Simonovic,C,84,220,22,CHI,9,0,KK Mega Bemax (Serbia),Montenegro,2020 ,28
2022,Anfernee Simons,SG,75,195,22,POR,57,3,IMG Academy (Florida),United States,2018 ,24
2022,Zavier Simpson,PG,72,190,25,OKC,4,0,Michigan,United States,"2020 NBA Draft, Undrafted",NA
2022,Jericho Sims,C,82,240,23,NYK,41,0,Texas,United States,2021 ,56
2022,Deividas Sirvydis,GF,80,190,21,DET,3,1,Lietuvos Rytas II (Lithuania),Lithuania,2019 ,14
2022,Javonte Smart,G,75,205,22,"MIA, MIL",17,0,LSU,United States,"2021 NBA Draft, Undrafted",NA
2022,Marcus Smart,PG,75,220,27,BOS,71,7,Oklahoma State,United States,2014 ,6
2022,Dennis Smith,PG,74,205,24,POR,37,4,NC State,United States,2017 ,9
2022,Ish Smith,PG,72,175,33,"CHA, WAS",65,11,Wake Forest,United States,"2010 NBA Draft, Undrafted",NA
2022,Jalen Smith,C,82,215,21,"IND, PHX",51,1,Maryland,United States,2020 ,10
2022,Xavier Sneed,SF,77,215,24,"MEM, UTH",9,0,Kansas State,United States,"2020 NBA Draft, Undrafted",NA
2022,Tony Snell,G,78,213,30,"NOP, POR",53,8,New Mexico,United States,2013 ,20
2022,Jaden Springer,SG,75,205,19,PHI,2,0,Tennessee,United States,2021 ,28
2022,Cassius Stanley,G,78,193,22,DET,9,1,Duke,United States,2020 ,48
2022,Nik Stauskas,SG,78,205,28,"BOS, MIA",8,5,Michigan,Canada,2014 ,8
2022,Lance Stephenson,SG,78,230,31,"ATL, IND",46,9,Cincinnati,United States,2010 ,20
2022,Lamar Stevens,SF,80,225,24,CLE,63,1,Penn State,United States,"2020 NBA Draft, Undrafted",NA
2022,Isaiah Stewart II,C,81,250,20,DET,71,1,Washington,United States,2020 ,16
2022,Max Strus,G,77,220,25,MIA,68,2,DePaul,United States,"2019 NBA Draft, Undrafted",NA
2022,Jalen Suggs,SG,77,210,20,ORL,48,0,Gonzaga,United States,2021 ,5
2022,Craig Sword,G,75,196,28,WAS,3,0,Mississippi State,United States,"2016 NBA Draft, Undrafted",NA
2022,Keifer Sykes,PG,72,180,28,IND,32,0,Green Bay,United States,"2015 NBA Draft, Undrafted",NA
2022,Jae'sean Tate,F,76,230,26,HOU,78,1,Ohio State,United States,"2018 NBA Draft, Undrafted",NA
2022,Jayson Tatum,SF,80,210,23,BOS,76,4,Duke,United States,2017 ,3
2022,Terry Taylor,GF,77,230,22,IND,33,0,Austin Peay,United States,"2021 NBA Draft, Undrafted",NA
2022,Garrett Temple,G,77,195,35,NOP,59,11,LSU,United States,"2009 NBA Draft, Undrafted",NA
2022,Emanuel Terry,F,81,220,25,PHX,3,1,Lincoln Memorial,United States,"2018 NBA Draft, Undrafted",NA
2022,Tyrell Terry,PG,74,170,21,MEM,2,1,Stanford,United States,2020 ,2
2022,Jon Teske,PF,85,265,24,MEM,3,0,Michigan,United States,"2020 NBA Draft, Undrafted",NA
2022,Daniel Theis,C,80,245,29,"BOS, HOU",47,4,Ratiopharm Ulm (Germany),Germany,"2013 NBA Draft, Undrafted",NA
2022,Brodric Thomas,G,77,185,25,BOS,12,1,Truman State,United States,"2020 NBA Draft, Undrafted",NA
2022,Cam Thomas,PG,75,208,20,BRK,67,0,LSU,United States,2021 ,27
2022,Isaiah Thomas,PG,69,185,33,"CHA, DAL, LAL",22,10,Washington,United States,2011 ,60
2022,Matt Thomas,G,76,190,27,CHI,40,2,Iowa State,United States,"2017 NBA Draft, Undrafted",NA
2022,Klay Thompson,G,78,210,32,GSW,32,10,Washington State,United States,2011 ,11
2022,Tristan Thompson,F,81,254,30,"CHI, IND, SAC",57,10,Texas,Canada,2011 ,4
2022,J.T. Thor,PF,81,205,19,CHA,33,0,Auburn,United States,2021 ,14
2022,Matisse Thybulle,SF,77,205,24,PHI,66,2,Washington,United StatesAustralia,2019 ,20
2022,Killian Tillie,C,82,220,23,MEM,36,1,Gonzaga,France,"2020 NBA Draft, Undrafted",NA
2022,"Xavier Tillman, Sr.",PF,80,245,23,MEM,53,1,Michigan State,United States,2020 ,10
2022,Isaiah Todd,PF,82,210,20,WAS,12,0,NBA G League Ignite,United States,2021 ,2
